FID,RDNAME,RDNAME2,HWY_NUM,AADTT16,VOG_WGT,VOG16,SHAPE_Length
12444,Highway 401 W,Macdonald-Cartier Fwy W,401,11114,59804118,217238000,0.00929242719535317
12445,Highway 401 E,Macdonald-Cartier Fwy E,401,12121,72447909,307630000,0.00811184851227711
12446,Highway 401 Collector,Macdonald-Cartier Fwy W,401,9057,56598624,213818000,0.00700000376822916
12447,Highway 6 S,Hanlon Expy,6,1966,9181533,39334000,0.0248259490292121
12448,Tc Hwy W, ,417,2218,7681814,42647000,0.0146170260584651
12449,Highway 401 W,Macdonald-Cartier Fwy W,401,10798,61109010,228085000,0.00499907077833235
12450,Highway 401 E,Macdonald-Cartier Fwy E,401,8548,65758012,240540000,0.00522274871279537
12451,Highway 401 E,Macdonald-Cartier Fwy E,401,9775,89569236,311703000,0.00487540652259919
12452, , ,403,5810,17645465,67896000,0.00486925467911245
12453, , ,403,5810,17645465,67896000,0.00259303004418692
12454,Highway 401 E, ,401,6441,51730979,184413000,0.00529984583217963
12455,Ramp, ,403,6099,17959833,71028000,0.00476712578727383
12456,Highway 401 Collector,Macdonald-Cartier Fwy W,401,11943,58555414,219448000,0.00498150363626417
12457,Highway 401 Collector,Macdonald-Cartier Fwy E,401,12926,68785350,244452000,0.00418913952262115
12458,Highway 401 Expy,Macdonald-Cartier Fwy E,401,11499,68095221,243572000,0.0159152110548009
12459,Highway 401 W,Macdonald-Cartier Fwy W,401,9972,56959696,210135000,0.0192396180654471
12460,Tc Hwy E, ,417,1254,6867734,16345000,0.00637603663486756
12461,Highway 403 E, ,403,5810,17645465,67896000,0.00597978056020913
12462,King's Highway 3 E,King's Highway 3 E,3,292,32548574,174766000,0.00660046579827307
12463,Highway 401 W,Macdonald-Cartier Fwy W,401,4702,33007365,144149000,0.0937193216859726
12464,Highway 401 W,Macdonald-Cartier Fwy W,401,4835,35166374,163662000,0.0458857792553069
12465,Bluewater Bridge West, ,402,2426,22336311,71143000,0.00242592765760809
12466,Highway 401 E,Macdonald-Cartier Fwy E,401,4367,40560061,217719000,0.00565898348274777
12467,Highway 401 W,Macdonald-Cartier Fwy W,401,8146,61634089,232118000,0.0112908788189396
12468,Highway 401 W,Macdonald-Cartier Fwy W,401,7227,61743178,231986000,0.00562544493232165
12469,Highway 401 E,Macdonald-Cartier Fwy E,401,9435,74209942,337732000,0.0107658044108159
12470,Highway 401 Expy,Macdonald-Cartier Fwy W,401,9240,56954603,213884000,0.0323849853092916
12471,Highway 401 Collector,Macdonald-Cartier Fwy W,401,9240,56954603,213884000,0.00435142213811442
12472,Highway 401 E,Macdonald-Cartier Fwy E,401,6036,49793377,178459000,0.00846599776960949
